Name,NACA 4412
Chord(mm),200
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
200.000000,0.260000
190.000000,2.940000
180.000000,5.420000
160.000000,9.780000
140.000000,13.380000
120.000000,16.280000
100.000000,18.380000
80.000000,19.600000
60.000000,19.520000
50.000000,18.820000
40.000000,17.600000
30.000000,15.780000
20.000000,13.180000
15.000000,11.520000
10.000000,9.460000
5.000000,6.780000
2.500000,4.880000
0.000000,0.000000
2.500000,-2.860000
5.000000,-3.900000
10.000000,-4.980000
15.000000,-5.480000
20.000000,-5.720000
30.000000,-5.760000
40.000000,-5.480000
50.000000,-5.000000
60.000000,-4.520000
80.000000,-3.600000
100.000000,-2.800000
120.000000,-2.000000
140.000000,-1.300000
160.000000,-0.780000
180.000000,-0.440000
190.000000,-0.320000
200.000000,-0.260000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
2.500000,1.010000
5.000000,1.440000
10.000000,2.240000
15.000000,3.020000
20.000000,3.730000
30.000000,5.010000
40.000000,6.060000
50.000000,6.910000
60.000000,7.500000
80.000000,8.000000
100.000000,7.790000
120.000000,7.140000
140.000000,6.040000
160.000000,4.500000
180.000000,2.490000
190.000000,1.310000
200.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
200.000000,0.000000
